shot_id,scene_id,act,slugline,tc_in,tc_out,runtime_in,dur_s,assembly_s,framing,movement,lens_mm,subjects,location,lighting,device_in_frame,physical_contact,countdown_reads,music_cue,sound_cue,dialogue,action,qc_note,seed
SH0001,SC-01,TEASER,EXT. CEDAR ROW - LATE AFTERNOON,01:00:00:00,01:00:09:00,00:00,9,10,XWIDE,STATIC,135,NONE,EXT_STREET,GOLDEN,,,,M01,"Distant lawnmower, sparrows, one car approaching and receding, a screen door somewhere",,"The street, flattened by a long lens. Nothing happens for six seconds. A sedan crosses frame left to right and is gone. Hold on the empty street.","Hold four seconds past comfort. This is the show's promise: we watch, and we wait.",1100
SH0002,SC-01,TEASER,EXT. CEDAR ROW - LATE AFTERNOON,01:00:09:00,01:00:14:00,00:09,5,6,WIDE,STATIC,85,NONE,EXT_STREET,GOLDEN,,,,M01,"Street tone, a dog two gardens away",,The fourth house. Nothing distinguishes it. A kitchen window on the left side warms as a light is switched on inside.,,1101
SH0003,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:00:14:00,01:00:21:00,00:14,7,8,WIDE-2S,STATIC,35,MB,KITCHEN,GOLDEN,,,,M01,"Pans, extractor fan off, mail on laminate",,"The kitchen entire. LAUREN at the stove with three pans going, none of them well, entirely happy. MILES leaning against the counter sorting a stack of mail.",,1202
SH0004,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:00:21:00,01:00:24:00,00:21,3,4,MCU,STATIC,50,M,KITCHEN,GOLDEN,,,,,,MILES: This one's for the Petersens again.,"MILES, holding up an envelope, not looking up.",,1203
SH0005,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:00:24:00,01:00:27:00,00:24,3,3,MCU,STATIC,50,L,KITCHEN,GOLDEN,,,,,,LAUREN: Keep it.,"LAUREN at the stove, over her shoulder.",,1204
SH0006,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:00:27:00,01:00:30:00,00:27,3,3,MCU,STATIC,50,M,KITCHEN,GOLDEN,,,,,,MILES: It's from a hospital.,MILES turns the envelope over.,,1205
SH0007,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:00:30:00,01:00:33:00,00:30,3,3,MCU,STATIC,50,L,KITCHEN,GOLDEN,,,,,,LAUREN: Then definitely keep it.,"LAUREN, deadpan, still cooking.",,1206
SH0008,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:00:33:00,01:00:37:00,00:33,4,5,MED-2S,STATIC,40,MB,KITCHEN,GOLDEN,,,,M01,,,She reaches past him for the salt. Without looking up he shifts his weight out of her way at precisely the right moment. Neither registers it.,CONTINUITY-CRITICAL: this is the marriage in one gesture. Do not cut around it.,1207
SH0009,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:00:37:00,01:00:41:00,00:37,4,5,MCU,STATIC,50,L,KITCHEN,GOLDEN,,,,,,LAUREN: Taste this. | MILES: No. | LAUREN: Taste it.,LAUREN turns with a wooden spoon held out.,,1208
SH0010,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:00:41:00,01:00:44:00,00:41,3,3,MCU,STATIC,50,M,KITCHEN,GOLDEN,,,,,,MILES: I watched you make it.,"MILES, not moving.",,1209
SH0011,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:00:44:00,01:00:48:00,00:44,4,5,CU,SLOW PUSH,65,M,KITCHEN,GOLDEN,,,,,"Room tone, a pan ticking",,He gives in and tastes it off the spoon. He considers. He considers for noticeably longer than is flattering.,,1210
SH0012,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:00:48:00,01:00:51:00,00:48,3,3,MCU,STATIC,50,M,KITCHEN,GOLDEN,,,,,,MILES: It's good.,"MILES, diplomatic.",,1211
SH0013,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:00:51:00,01:00:54:00,00:51,3,3,MCU,STATIC,50,L,KITCHEN,GOLDEN,,,,,,LAUREN: You hesitated.,"LAUREN, instantly.",,1212
SH0014,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:00:54:00,01:00:58:00,00:54,4,5,MED-2S,STATIC,40,MB,KITCHEN,GOLDEN,,,,,,MILES: I was chewing. | LAUREN: It's soup.,The two of them.,,1213
SH0015,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:00:58:00,01:01:01:00,00:58,3,4,MED-2S,STATIC,40,MB,KITCHEN,GOLDEN,,,,M01,,,"Beat. Miles laughs - a short exhale through the nose. She goes back to the stove, pleased with herself.",,1214
SH0016,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:01:01:00,01:01:05:00,01:01,4,5,MED,HANDHELD-SUBTLE,40,L,KITCHEN,GOLDEN,,,,,,,"LAUREN crosses to the fridge, takes a pen off a magnet, and adds a line to the notepad stuck there.",,1215
SH0017,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:01:05:00,01:01:12:00,01:05,7,8,ECU-INSERT,STATIC,100,NONE,KITCHEN,GOLDEN,,,,,Pen on paper. Nothing else.,,"The notepad. Her handwriting: 'bins - Thurs'. Below it she begins to write a time and forms the numeral 7. The pen lifts, comes back down angled for a cross-stroke through the digit - and stops a quarter-inch short. Hovers. Then lifts away. The seven is left bare.","PLANT P3. Pays off on the box label, SC-08. Shoot the abort in one unbroken take.",1216
SH0018,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:01:12:00,01:01:15:00,01:12,3,3,MED,STATIC,40,L,KITCHEN,GOLDEN,,,,,,,She caps the pen without ceremony and puts it back on the magnet.,,1217
SH0019,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:01:15:00,01:01:18:00,01:15,3,2,CU-INSERT,STATIC,65,NONE,KITCHEN,GOLDEN,,,,,CHIRP - the episode's signature domestic sound. Establish the exact tone here.,,The smoke detector on the kitchen ceiling. A single low chirp.,PLANT P5. The leaf answers this in SC-17.,1218
SH0020,SC-02,TEASER,INT. WARD HOUSE / KITCHEN - LATE AFTERNOON,01:01:18:00,01:01:23:00,01:18,5,6,MED-2S,STATIC,40,MB,KITCHEN,GOLDEN,,,,,,LAUREN: There it is. | MILES: I'll get a battery. | LAUREN: You've said that. | MILES: And I've meant it every time.,Neither of them looks up.,,1219
SH0021,SC-03,TEASER,INT. WARD HOUSE / HALLWAY - CONTINUOUS,01:01:23:00,01:01:29:00,01:23,6,7,MED-TRACK,TRACK BEHIND,35,M,HALL,WARM,,,,M01,,,"MILES carries the mail through the narrow hallway, camera following at his shoulder. He passes four bare picture hooks in a row - nails only, and four small pale unfaded rectangles where frames used to hang, or never did.",PLANT P1. The hooks must be clearly readable and never remarked on by the camera.,1320
SH0022,SC-03,TEASER,INT. WARD HOUSE / HALLWAY - CONTINUOUS,01:01:29:00,01:01:33:00,01:29,4,5,MED,STATIC,40,L,HALL,WARM,,,,,,LAUREN: I'm going to fill those.,"LAUREN comes out of the kitchen behind him, drying her hands.",,1321
SH0023,SC-03,TEASER,INT. WARD HOUSE / HALLWAY - CONTINUOUS,01:01:33:00,01:01:36:00,01:33,3,4,MED,STATIC,40,M,HALL,WARM,,,,,,MILES: Sure. | LAUREN: I've got the one of the lake. I could get it printed. | MILES: Sure.,"MILES, walking away, not slowing.",,1322
SH0024,SC-03,TEASER,INT. WARD HOUSE / HALLWAY - CONTINUOUS,01:01:36:00,01:01:41:00,01:36,5,6,MCU,SLOW PUSH,65,L,HALL,WARM,,,,,His footsteps receding. Room tone.,,LAUREN stops. She looks at the four bare nails for a moment. Then she follows him.,,1323
SH0025,SC-04,TEASER,INT. WARD HOUSE / LIVING ROOM - EVENING,01:01:41:00,01:01:48:00,01:41,7,8,WIDE-2S,STATIC,35,MB,LIVING,WARM,,,,M01,"Television dialogue, low and indistinct. Rain has not started yet.",,The living room. Two lamps and a television playing an old black-and-white film with the sound low. They are folded onto the couch in the way of people who worked out the geometry years ago.,,1424
SH0026,SC-04,TEASER,INT. WARD HOUSE / LIVING ROOM - EVENING,01:01:48:00,01:01:52:00,01:48,4,5,INSERT-TV,STATIC,65,NONE,LIVING,TV_ONLY,,,,,,,On the television: a woman in a coat stands on a railway platform in black and white.,,1425
SH0027,SC-04,TEASER,INT. WARD HOUSE / LIVING ROOM - EVENING,01:01:52:00,01:01:55:00,01:52,3,4,MCU,STATIC,65,M,LIVING,WARM_LOW,,,,,,MILES: She was never on the train.,"MILES, quietly, to nobody.",PLANT P4. He is three seconds early and does not notice he has done it.,1426
SH0028,SC-04,TEASER,INT. WARD HOUSE / LIVING ROOM - EVENING,01:01:55:00,01:01:58:00,01:55,3,4,INSERT-TV,STATIC,65,NONE,LIVING,TV_ONLY,,,,,,,Three seconds later the detective on screen says something to precisely that effect.,,1427
SH0029,SC-04,TEASER,INT. WARD HOUSE / LIVING ROOM - EVENING,01:01:58:00,01:02:01:00,01:58,3,4,MCU,STATIC,65,L,LIVING,WARM_LOW,,,,,,LAUREN: How.,LAUREN turns her head to look at him.,,1428
SH0030,SC-04,TEASER,INT. WARD HOUSE / LIVING ROOM - EVENING,01:02:01:00,01:02:07:00,02:01,6,7,MED-2S,STATIC,40,MB,LIVING,WARM_LOW,,,,,,MILES: Lucky guess. | LAUREN: That's four. | MILES: Four what. | LAUREN: You know what. | MILES: I genuinely don't. | LAUREN: Mm.,He shrugs it off. She doesn't buy it and doesn't press.,Private comedy with no setup. Never explain what the count is.,1429
SH0031,SC-04,TEASER,INT. WARD HOUSE / LIVING ROOM - EVENING,01:02:07:00,01:02:10:00,02:07,3,4,MED,STATIC,40,L,LIVING,WARM_LOW,,,,,,,"LAUREN reaches for her phone, thumbs the camera open, and lifts it toward him.",,1430
SH0032,SC-04,TEASER,INT. WARD HOUSE / LIVING ROOM - EVENING,01:02:10:00,01:02:15:00,02:10,5,6,MED-2S,STATIC,40,MB,LIVING,WARM_LOW,,CONTACT,,,,LAUREN: One picture. | MILES: Absolutely not. | LAUREN: You are a very strange man. | MILES: I photograph poorly.,"MILES turns his face away - instantly, smoothly, into her shoulder. Played entirely as a joke. It is a reflex wearing a joke's clothes.","PLANT P2. Pays off on the camera roll, SC-17.",1431
SH0033,SC-04,TEASER,INT. WARD HOUSE / LIVING ROOM - EVENING,01:02:15:00,01:02:20:00,02:15,5,6,MCU,SLOW PUSH,65,L,LIVING,WARM_LOW,,,,M01,,,"LAUREN lowers the phone, smiling. The smile stays one beat past where it should. Then she puts the phone face-down on the arm of the couch.",,1432
SH0034,SC-04,TEASER,INT. WARD HOUSE / LIVING ROOM - EVENING,01:02:20:00,01:02:24:00,02:20,4,5,MED-2S,STATIC,40,MB,LIVING,WARM_LOW,,,,,"Muffled party: bass, laughter, a car door",LAUREN: They're doing it again. | MILES: It's Friday.,"Outside, distantly: music, and people laughing. A party two doors down.",,1433
SH0035,SC-04,TEASER,INT. WARD HOUSE / LIVING ROOM - EVENING,01:02:24:00,01:02:30:00,02:24,6,7,MED-2S,STATIC,40,MB,LIVING,WARM_LOW,,,,,,LAUREN: We should go over sometime. | MILES: Sure. | LAUREN: That's three sures tonight and you've meant zero of them. | MILES: I mean all of them equally.,,,1434
