shot_id,runtime,scene,time_of_day,characters,wardrobe,miles_state,lauren_state,leaf_location,leaf_state,house_power,weather,device_temp_rule,photos_on_wall,flags
SH0001,00:00,SC-01,late afternoon,NONE,-,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0002,00:09,SC-01,late afternoon,NONE,-,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0003,00:14,SC-02,late afternoon,MB,WRD-M-A + WRD-L-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0004,00:21,SC-02,late afternoon,M,WRD-M-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0005,00:24,SC-02,late afternoon,L,WRD-L-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0006,00:27,SC-02,late afternoon,M,WRD-M-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0007,00:30,SC-02,late afternoon,L,WRD-L-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0008,00:33,SC-02,late afternoon,MB,WRD-M-A + WRD-L-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0009,00:37,SC-02,late afternoon,L,WRD-L-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0010,00:41,SC-02,late afternoon,M,WRD-M-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0011,00:44,SC-02,late afternoon,M,WRD-M-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0012,00:48,SC-02,late afternoon,M,WRD-M-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0013,00:51,SC-02,late afternoon,L,WRD-L-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0014,00:54,SC-02,late afternoon,MB,WRD-M-A + WRD-L-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0015,00:58,SC-02,late afternoon,MB,WRD-M-A + WRD-L-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0016,01:01,SC-02,late afternoon,L,WRD-L-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0017,01:05,SC-02,late afternoon,NONE,-,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0018,01:12,SC-02,late afternoon,L,WRD-L-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0019,01:15,SC-02,late afternoon,NONE,-,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0020,01:18,SC-02,late afternoon,MB,WRD-M-A + WRD-L-A,guarded,at ease,-,dormant/cold,on,dry/clear,-,NONE - four bare hooks,
SH0021,01:23,SC-03,night,M,WRD-M-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0022,01:29,SC-03,night,L,WRD-L-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0023,01:33,SC-03,night,M,WRD-M-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0024,01:36,SC-03,night,L,WRD-L-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0025,01:41,SC-04,night,MB,WRD-M-A + WRD-L-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0026,01:48,SC-04,night,NONE,-,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0027,01:52,SC-04,night,M,WRD-M-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0028,01:55,SC-04,night,NONE,-,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0029,01:58,SC-04,night,L,WRD-L-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0030,02:01,SC-04,night,MB,WRD-M-A + WRD-L-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0031,02:07,SC-04,night,L,WRD-L-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0032,02:10,SC-04,night,MB,WRD-M-A + WRD-L-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0033,02:15,SC-04,night,L,WRD-L-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0034,02:20,SC-04,night,MB,WRD-M-A + WRD-L-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0035,02:24,SC-04,night,MB,WRD-M-A + WRD-L-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0036,02:30,SC-04,night,L,WRD-L-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0037,02:34,SC-04,night,M,WRD-M-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0038,02:37,SC-04,night,MB,WRD-M-A + WRD-L-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0039,02:42,SC-04,night,M,WRD-M-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0040,02:45,SC-05,night,M,WRD-M-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0041,02:49,SC-05,night,M,WRD-M-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0042,02:54,SC-05,night,M,WRD-M-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0043,03:00,SC-05,night,L,WRD-L-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0044,03:05,SC-05,night,L,WRD-L-A,guarded,at ease,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0045,03:11,SC-06,night,MB,WRD-M-A + WRD-L-A,guarded,at ease,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0046,03:16,SC-06,night,MB,WRD-M-A + WRD-L-A,guarded,at ease,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0047,03:19,SC-06,night,MB,WRD-M-A + WRD-L-A,guarded,at ease,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0048,03:26,SC-06,night,M,WRD-M-A,guarded,at ease,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0049,03:30,SC-06,night,NONE,-,guarded,at ease,in the box,dormant,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0050,03:37,TITLE,night,NONE,-,exposed,escalating,-,dormant/cold,on,light rain,-,NONE - four bare hooks,
SH0051,03:57,SC-07,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0052,04:04,SC-07,night,M,WRD-M-A,guarded,escalating,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0053,04:07,SC-07,night,L,WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0054,04:12,SC-07,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0055,04:19,SC-07,night,NONE,-,guarded,escalating,in the box,dormant,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0056,04:25,SC-07,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0057,04:31,SC-08,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0058,04:36,SC-08,night,L,WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0059,04:40,SC-08,night,NONE,-,guarded,escalating,in the box,dormant,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0060,04:50,SC-08,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0061,04:55,SC-08,night,NONE,-,guarded,escalating,in the box,dormant,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0062,05:03,SC-08,night,L,WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0063,05:10,SC-08,night,MB,WRD-M-A + WRD-L-A,guarded,escalating,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0064,05:18,SC-08,night,NONE,-,guarded,escalating,in the box,dormant,on,light rain,cold toward room / warm away,NONE - four bare hooks,
SH0065,05:24,SC-08,night,M,WRD-M-A,guarded,escalating,in the box,dormant,on,light rain,-,NONE - four bare hooks,
SH0066,05:28,SC-08,night,M,WRD-M-A,guarded,escalating,in the box,dormant,on,light rain,-,NONE - four bare hooks,
