asset_id,type,description,source_or_parent,version,status,used_in_shots,tags
CHR-MILES-01,character,Miles - locked face/identity,reference/miles_reference_source.jpg,v1.0,APPROVED,163 shots,character;locked;face-lock
CHR-MILES-01-L1,look,Miles look 1 - WRD-M-A,CHR-MILES-01,v1.0,APPROVED,156 shots,character;locked;face-lock
CHR-MILES-01-L2,look,"Miles look 2 - WRD-M-B (jacket, boots)",CHR-MILES-01,v1.0,APPROVED,7 shots,character;locked;face-lock
CHR-LAUREN-01,character,Lauren - locked face/identity,reference/lauren_reference_source.jpg,v1.0,APPROVED,173 shots,character;locked;face-lock
CHR-LAUREN-01-L1,look,Lauren look 1 - WRD-L-A,CHR-LAUREN-01,v1.0,APPROVED,144 shots,character;locked;face-lock
CHR-LAUREN-01-L2,look,Lauren look 2 - WRD-L-B (cardigan),CHR-LAUREN-01,v1.0,APPROVED,29 shots,character;locked;face-lock
CHR-LAUREN-02,character,"The double - CHR-LAUREN-01 + scar, stillness, hair down",CHR-LAUREN-01,v1.0,APPROVED,19 shots,character;locked;face-lock
CHR-LAUREN-02-L1,look,Double look 1 - WRD-D-A,CHR-LAUREN-02,v1.0,APPROVED,19 shots,character;locked;face-lock
CHR-FIGURE-01,character,The figure (tag + street) - never a face,-,v1.0,APPROVED,4 shots,character;locked;face-lock
VOX-MILES,voice,Miles voice profile,production/01-bible/character-bible.md,v1.0,APPROVED,-,voice;locked
VOX-LAUREN,voice,Lauren voice profile,production/01-bible/character-bible.md,v1.0,APPROVED,-,voice;locked
VOX-DOUBLE,voice,"Double voice profile - unprocessed, no breath",production/01-bible/character-bible.md,v1.0,APPROVED,-,voice;locked
VOX-DOOR,voice,"The voice at the door - warm, muffled, gender unclear",-,v1.0,APPROVED,-,voice;locked
VOX-SYSTEM,voice,"Tag system voice - flat, pleasant",-,v1.0,APPROVED,-,voice;locked
PRP-LEAF-01,prop,The leaf - hero prop,production/05-assets/locations-and-props.md,v1.0,APPROVED,95 shots,prop;locked;continuity-tracked
PRP-BOX-01,prop,The package,production/05-assets/locations-and-props.md,v1.0,APPROVED,-,prop;locked;continuity-tracked
PRP-LABEL-01,prop,"The shipping label - crossed seven, 14 Oct",production/05-assets/locations-and-props.md,v1.0,APPROVED,-,prop;locked;continuity-tracked
PRP-CAL-01,prop,Wall calendar - one circled date,-,v1.0,APPROVED,-,prop;locked;continuity-tracked
PRP-HOOKS-01,prop,Four bare picture hooks,-,v1.0,APPROVED,-,prop;locked;continuity-tracked
PRP-DETECTOR-01,prop,Smoke detector - single chirp recording,-,v1.0,APPROVED,-,prop;locked;continuity-tracked
PRP-BOLT-01,prop,Brass deadbolt,-,v1.0,APPROVED,-,prop;locked;continuity-tracked
PRP-BAGS-01,prop,Two dusty canvas duffels,-,v1.0,APPROVED,-,prop;locked;continuity-tracked
PRP-PHOTO-01,prop,The photograph - NEVER SEEN,-,v1.0,LOCKED-HIDDEN,-,prop;locked;continuity-tracked
PRP-PENDANT-01,prop,Lauren's pendant,-,v1.0,APPROVED,-,prop;locked;continuity-tracked
PRP-IRON-01,prop,Fire iron,-,v1.0,APPROVED,-,prop;locked;continuity-tracked
PRP-PHONE-01,prop,Lauren's phone,-,v1.0,APPROVED,-,prop;locked;continuity-tracked
PRP-SHEET-01,prop,The tag's sheet - same object as the leaf,PRP-LEAF-01,v1.0,APPROVED,-,prop;locked;continuity-tracked
LOC-EXT_STREET,location,"Cedar Row: an ordinary North American residential street of low single-storey 1950s houses, chain-li",production/05-assets/locations-and-props.md,v1.0,APPROVED,6 shots,location;locked
LOC-PORCH,location,"the Ward house front porch: concrete step, dark coir mat, aluminium screen door, a wall lamp with on",production/05-assets/locations-and-props.md,v1.0,APPROVED,1 shots,location;locked
LOC-ENTRY,location,"the Ward house entry hall: narrow, warm, a coat hook, shoes lined against the skirting, a front door",production/05-assets/locations-and-props.md,v1.0,APPROVED,11 shots,location;locked
